index,hengsheng,production_ratio,expectation,interest,investment,property,delivery,M1
102.7795833,5184.50875,98.16198432,98.58824312,1.432548313,8682.235417,11574.30625,207664.9583,124880.2454
102.9541667,5485.68375,98.15823432,98.81242236,1.465926091,8863.73,11727.67042,209678.0833,126952.4092
103.09875,5855.196667,98.14198432,98.96790151,1.49181379,9048.723333,11868.84625,211467.625,129115.9513
103.1958333,6329.545833,98.12906766,99.04744898,1.509717262,9249.450833,12002.10625,213300.3333,131285.4029
103.24,6781.135,98.13740099,99.08722272,1.512363095,9454.694583,12123.71417,215313.3333,133479.3296
103.2008333,7111.430833,98.13073432,99.07637533,1.513609226,9671.9025,12335.93083,217126.0417,135681.6625
103.1129167,7325.817083,98.15187706,99.04383319,1.511141865,9821.753333,12560.73417,218655.0833,137884.9813
103.0670833,7504.400833,98.2355198,98.94620674,1.496582242,9887.848333,12705.68583,220314.75,139981.1617
103.08,7672.127083,98.2855198,98.85942768,1.478958036,10012.02292,12888.8225,222434.875,141935.5767
103.0783333,7832.370833,98.26885314,98.75818545,1.455190774,10188.24708,13020.26042,224731.5833,143894.0242
103.0045833,8003.594167,98.24385314,98.57739574,1.410290278,10373.50083,13103.60292,227052.5417,145855.9213
102.8616667,8079.72875,98.23968647,98.34236912,1.348706944,10646.105,13230.8475,229443.7083,147607.6588
102.65,8062.57375,98.22218647,98.10011092,1.295123512,10947.88958,13286.21958,231769.375,149179.6488
102.3641667,7979.3325,98.17885314,97.83977374,1.249367262,11193.82833,13272.6375,234081.1667,150623.4704
101.9966667,7740.473333,98.12385314,97.51073647,1.187282837,11450.565,13219.57083,236508.5833,151834.0583
101.5466667,7275.982083,98.06135314,97.13469388,1.130141468,11699.52583,13120.435,238689.5833,152904.9929
101.0808333,6762.61375,97.98093647,96.59594055,1.128926091,11923.92583,13010.4775,239919.5417,153836.7363
100.6933333,6345.576667,97.89593647,95.77153949,1.173690575,12217.17917,13060.40083,240430.4167,154816.5183
100.3891667,6024.407917,97.8328651,94.78804348,1.251475,12439.74375,13157.77792,240787.4167,155818.1729
100.1058333,5730.370417,97.79104373,93.88047915,1.357476885,12529.51458,13133.45875,241191.625,156914.5675
99.84333333,5462.112083,97.72437706,92.99460958,1.469937798,12703.17333,13072.35708,241911.7083,158649.7917
99.66458333,5230.382917,97.67979373,92.10512422,1.582692659,12974.74542,13008.37958,242894.3333,160824.4717
99.59708333,5020.775,97.65354373,91.26987578,1.694190476,13308.53958,12934.10583,244483.625,163124.4504
99.62916667,4907.804583,97.61604373,90.45632209,1.799949405,13766.46208,12948.53042,246567.0417,165916.0683
99.7625,4867.14625,97.59937706,89.67531056,1.890593254,14204.62083,13076.1525,249259.0417,169216.6863
100.0291667,4851.02625,97.58687706,88.98469388,1.976785615,14554.73458,13223.65042,252715.5,172733.4254
